j,dist
46328,1.2405889974425814
39573,1.2406463891802237
20052,1.240655276939106
45436,1.2406754601358034
10879,1.2407497741660543
9142,1.240759283729881
26737,1.2407704405588191
33759,1.240811521247213
61541,1.2408362084747728
48922,1.2408453806118165
46329,1.2408818769660892
62258,1.2408944620080895
23037,1.2409235224376525
35447,1.2410126969043915
10878,1.241047542279847
43623,1.2410799512961337
11371,1.241084439147864
15679,1.2411065379646473
15750,1.241132914392858
18989,1.2411655604206173
11181,1.241187969146257
57677,1.241272832177982
62259,1.241275006973554
16637,1.2413367356967842
64196,1.241344209849835
70219,1.2413534725814739
42300,1.2413639603740934
33085,1.2414569073151023
70218,1.2414609069902858
42301,1.2414801539106821
11180,1.241531018714649
33084,1.2415987001760156
15751,1.241687941804631
9442,1.2417109079646265
20053,1.2417750976512598
39138,1.2417755675643074
23036,1.2418100168130928
28697,1.2418521623949506
16904,1.2418739127582954
8631,1.2418894298886747
46694,1.2419171281350954
58372,1.2420082812488438
8630,1.2420100048693914
47440,1.2420191145660056
28696,1.2420949287722194
25940,1.2421528162857849
57676,1.2421699310776815
21586,1.2422703505599686
46695,1.2422754859143925
15677,1.2422882668225357
15678,1.242308272207269
21587,1.2423251362107959
42309,1.2423521830238602
8319,1.242422827487189
21865,1.2424250195792015
8318,1.242432893809419
39139,1.2424907255937516
60659,1.242519135226884
6825,1.2425509887355837
47441,1.2425794942896886
15676,1.2425806669967037
60805,1.2426037364716707
42308,1.2426209495429075
35445,1.242629494775309
60804,1.2426866830654146
60658,1.2426980551599027
47694,1.2429228019188172
42691,1.2429462461729108
58373,1.2429824089867842
71075,1.2430569521914565
67389,1.2431020940063502
61854,1.2431661070191218
61855,1.2432404915602853
6824,1.2432643790991116
35444,1.2433111689024796
51950,1.243316881520045
50796,1.2433871125737135
47695,1.243490015382656
21083,1.2435445652438475
42690,1.2436075078410005
42128,1.2436744361626644
64554,1.2437362797065017
10854,1.2439307270146722
21082,1.244023525540121
1299,1.244091440724886
45006,1.244116216484749
64555,1.24411989780839
10855,1.2441480644770615
15986,1.244157547860905
11462,1.2441832205779249
6827,1.2441976116648077
15987,1.2442160706877181
13167,1.2442237135933154
36825,1.2442525417630863
47611,1.2442771061450442
11807,1.2442834006227383
65050,1.2443427349623053
51941,1.2443653518800923
42129,1.244380783268678
29105,1.2443835478890108
51940,1.2443873419851423
65051,1.244397660971587
47610,1.2444215566596482
38668,1.244442203155807
33752,1.2445090856887637
33753,1.244621065825982
36434,1.244725667246169
6826,1.2447574482849444
36435,1.2448089067377086
62708,1.244887334257747
51742,1.2449759761076262
11463,1.2449810158646386
6807,1.2450107768789949
62709,1.2450673203805631
10788,1.2450774159419649
1298,1.2450784397920518
25443,1.2450797248584577
13166,1.245097915198779
45734,1.2450980629719963
38669,1.2451403844472164
45735,1.2451521837707116
46692,1.2451646124305813
2433,1.2451892663468247
2432,1.2451928073008744
64192,1.2452355938485429
54484,1.2452358603841784
25926,1.2452515121894756
58839,1.2452759751199092
9125,1.2454183159308017
15333,1.2454221552115343
64193,1.2454842569346263
52269,1.2455028556160144
15332,1.2455213024521694
57398,1.245544612221475
50008,1.2456026649620782
57399,1.2456306917869824
46693,1.245641318637936
60500,1.2456499749755139
54486,1.2456675899483194
25442,1.2457450032336541
33505,1.2458202790219544
54485,1.2458241958371137
52268,1.2458457574101602
6806,1.2458606403090875
10789,1.2458617614927172
58838,1.2458953307897773
51743,1.2459059572154987
60590,1.245924444154335
20508,1.2459404297134722
60591,1.2459405856393084
66393,1.2459435897584064
60501,1.2459936654779704
46218,1.2461654524262389
44062,1.246197425226487
28580,1.2462801781607944
46219,1.246331243416051
62158,1.2463332627910002
27162,1.2464491269154103
36451,1.24654253909652
5218,1.2465621279357813
66395,1.2465984415053792
66394,1.246684166248946
47349,1.2467548466876421
29160,1.246841481876543
55482,1.246923817969578
43655,1.2469249924914008
47348,1.2469410793061095
15554,1.2469481550911699
13479,1.247035153275337
13478,1.24703871433079
11335,1.2470493697462732
43939,1.2471111051004489
5219,1.247180615320348
6611,1.2471934356028644
64063,1.247205759087706
40621,1.247221794378479
55683,1.2472454975402638
39149,1.2472489068099648
64062,1.2472983274974114
71364,1.24730485822209
71365,1.2473145438885545
11334,1.2473210312589202
63815,1.2474025639947495
13544,1.2474770673902802
6610,1.2475353888603526
13545,1.247634347540061
43938,1.247640862826227
245,1.2476719082406715
55480,1.2477257910130788
47428,1.247750449682038
17866,1.2477563113755932
55481,1.2477616589225378
55483,1.2477729576758694
43654,1.2477830145294195
63814,1.2478092101383031
8019,1.2478780115266868
36612,1.2479031742859215
57524,1.247954384093928
3359,1.248035029361969
10786,1.248051327823555
57525,1.2480750913437484
62154,1.2481036445220872
7599,1.2481381960421418
66983,1.2481668435981101
58386,1.248194062616682
5803,1.24819962669551
36784,1.2482287105437537
7598,1.2482294890974213
36613,1.2482443811422408
36785,1.2482666229996504
17867,1.2482887435247463
51403,1.24830412395924
7287,1.2483137303536678
42573,1.248343396044013
27848,1.248346684990457
18446,1.2483963553300486
8018,1.2484857857621374
68956,1.24853277059487
69615,1.2485375635487
16442,1.248543009196923
7286,1.2485858879416656
57921,1.2485949171549806
51402,1.2486512755023493
17468,1.2486570610895251
20192,1.2486597248818099
17862,1.2487306274527346
62487,1.2487577666510918
60742,1.2487816152021218
54932,1.2488027728970617
10521,1.2488116740090234
30103,1.2488350594472368
62486,1.2488952510765323
10520,1.249064617214097
30102,1.249242694819192
